Tweet Date,cleaned_text,Sentiment
2024-02-29 11:21:27+00:00,not too ambitious just lots of bbca shares,Positive
2024-02-29 10:11:05+00:00,bca expoversary offers special interest rate promos starting from for kpr and kkb,Neutral
2024-02-29 10:06:04+00:00,bca shares will follow,Positive
2024-02-29 07:42:09+00:00,pt bank bca syariah bca syariah also enlivened the bca expoversary by offering a variety of sharia financing solutions,Neutral
2024-02-29 06:06:17+00:00,so many stocks you choose those stocks if you have a lot of money you can buy them in installments at big banks if you correct it again big banks are bbni bbri bbca bmri,Positive
2024-02-29 05:29:15+00:00,rather than flowers its better to have useful things at least like one slot of bca shares or one slot of gg shares ehehehehhehe,Positive
2024-02-29 04:08:37+00:00,there are many rdn options in mirae asset sir however to withdraw funds you can use any bank for example if you use a blu account maybe later when opening an account you can use bca for rdn,Neutral
2024-02-29 04:02:04+00:00,sir for mirae securities can you use a blu by bca account,Neutral
2024-02-29 03:41:47+00:00,bbca because its stable,Positive
2024-02-29 03:34:36+00:00,holding exhibitions is still one of the mainstay strategies of banks to encourage consumer credit distribution as done by pt bank central asia tbk bca and pt bank mega tbk which earlier this year already,Neutral
2024-02-29 02:51:24+00:00,a soulmate has arrived m in cash and shares bca bri etc bismillah soon you will have it aamiin,Positive
2024-02-29 02:26:05+00:00,business index weakens due to pressure from bbri bbca mapi shares,Negative
2024-02-29 01:22:56+00:00,bbca in because im sure wkwkkw,Positive
2024-02-29 01:06:31+00:00,during the pandemic bbri given capital by dad told me to take bca but why is it so expensive,Negative
2024-02-28 23:44:47+00:00,bbca but its been sold bismillah this year ill buy a few more slots,Positive
2024-02-28 23:42:16+00:00,then i had a dream in my dream someone said at least have lots of bbca shares what the hell,Positive
2024-02-28 21:58:44+00:00,pray that one day you will have that bbca,Positive
2024-02-28 16:12:41+00:00,put lot in mandiri lot in bca its all gone go to sleep open again next year,Positive
2024-02-28 15:35:40+00:00,just million to buy of bca shares,Positive
2024-02-28 15:03:41+00:00,i want to have lots of bbca shares oh my god hahaha,Positive
2024-02-28 14:05:34+00:00,my investment composition big crypto btc eth sol tech giant us stocks aapl msft intc nvda adbe bluechip bank indo stocks bca bri bni mand bonds to support the countrynationalism,Neutral
